name,author
Pride and Prejudice,Jane Austen
1984,George Orwell
The grapes of Wrath,John Steinbeck
The lord of the rings,JR.R. Tolkien
To kill a mockingbird,Harper Lee
Jane Eyre,Charlotte Brontë
Wuthering Heights,Emily Brontë
A passage to india,E.M. Forster
Lord of the flies ,William Golding
Hamlet,William Shakespeare
A bend in the river,V.S. Naipaul
The great gatsby,E.scott-Fitzgerald
The cather in the rye,J.D. Salinger
The bell jar,Sylvia Plath
Brave new world,Aldous huxley
The dairy of a young girl,Anne frank
Don quixote,
The canterbury tales,Geoffrey Chaucer
Ulysses,James Joyce
The quiet American,Graham Greene
Birdsong,Sebastian faulks
Money,Martin Amis
Harry potter,K. Rowling
Moby dick,
The wind in the willows,
His dark materials,Philip Pullman
Anna karenina,Leo tolstoy
Alice's adventures in wonderland,
Rebecca,Daphne du maurier
the curious incident of the dog in the night-time,Mark haddon
On the road,Jack Kerouac
Heart of darkness,Joseph Conrad
The way we live now,Anothony trollope
The stranger,Albert camus
The color purple ,Alice walker
Life of pi,Yann Martel
Frankenstein,Mary Shelley
The war of the worlds,H.G. Wells
Men without women,Ernest Hemingway
Gulliver's travels,Jonathan Swift
A christmas carol,Charles dickens
Huckleberry fin,Mark twain
Robinson Crusoe,
One flew over the cuckoo's nest,Ken Kesey
Catch-22,Joseph Heller
The count of monte cristo,Alexander Dumas
Memoirs of a geisha,Arthur Golden
The divine comedy,Dante Alighieri
The picture of dorian gray,
